wissen ||| know
menschlichen ||| the human
menschlichen vorstellungskraft ||| the human imagination
menschlichen ||| human
menschlichen vorstellungskraft ||| human imagination
menschlichen vorstellungskraft ||| human imagination since
vorstellungskraft ||| imagination
vorstellungskraft ||| imagination since
vorstellungskraft ||| imagination since the
ethnosphäre ||| ethnosphere
ethnosphäre ist ||| ethnosphere is
ist ||| is
großartige ||| 's great
großartige ||| 's great legacy
großartige ||| great
großartige ||| great legacy
. ||| legacy .
. ||| .
ist ||| it 's
ist ||| 's
symbol ||| symbol
symbol ||| symbol of
symbol all ||| symbol of all
all ||| of all
all dessen ||| of all that
all ||| all
all dessen ||| all that
dessen ||| that
erstaunlich ||| can be as
erstaunlich ||| be as
erstaunlich ||| be as an
erstaunlich ||| as
erstaunlich ||| as an
spezies ||| inquisitive species
spezies ||| species
und ||| and
nur ||| just
genauso ||| as
biosphäre ||| biosphere
geschwindigkeit ||| has
stark ||| been
dies ||| so too is
dies ||| too is
dies ||| too is the
dies ||| is
dies ||| is the
ethnosphäre ||| the ethnosphere
ethnosphäre -- ||| the ethnosphere --
ethnosphäre ||| ethnosphere
ethnosphäre -- ||| ethnosphere --
ethnosphäre -- ||| ethnosphere -- and
-- ||| --
-- ||| -- and
-- ||| -- and ,
beispiel ||| for example
beispiel ||| for example ,
beispiel ||| example
beispiel ||| example ,
würde ||| , would
würde ||| , would dare
würde ||| would
würde ||| would dare
würde ||| would dare suggest
50 ||| 50
50 % ||| 50 percent
% ||| percent
oder ||| species or
oder mehr ||| species or more
oder ||| or
oder mehr ||| or more
oder mehr ||| or more have
mehr ||| more
mehr ||| more have
mehr ||| more have been
sind ||| been or are
sind ||| or are
sind ||| are
da ||| of extinction because
da ||| extinction because
da es ||| extinction because it
da ||| because
da es ||| because it
da es ||| because it simply
es ||| it
es ||| it simply
ist ||| simply is
ist ||| is
stimmt ||| true
stimmt ||| true ,
und ||| , and
und doch ||| , and yet
und ||| and
und doch ||| and yet
und doch ||| and yet that
doch ||| yet
doch ||| yet that
biologischen ||| realm of biological
biologischen ||| of biological
biologischen ||| biological
was ||| scarcely approaches what
was ||| approaches what
was uns ||| approaches what we
was ||| what
was uns ||| what we
uns ||| we
kaum ||| know
kulturellen ||| realm of cultural
kulturellen ||| of cultural
kulturellen ||| of cultural diversity
kulturellen ||| cultural
kulturellen ||| cultural diversity
und ||| and
entscheidende indikator ||| great indicator
entscheidende indikator ||| indicator
sprachen ||| that ,
sprachen ||| that , of
sprachen ||| ,
sprachen ||| , of
sprachen ||| , of course
ist ||| course , is
ist ||| , is
ist ||| , is language
ist ||| is
ist ||| is language
ist ||| is language loss
. ||| language loss .
. ||| loss .
. ||| .
jeder ||| when each
jeder ||| each
ihnen ||| you
ihnen in ||| you in
ihnen in diesem ||| you in this
in ||| in
in diesem ||| in this
in diesem raum ||| in this room
diesem ||| this
diesem raum ||| this room
diesem raum ||| this room were
raum ||| room
raum ||| room were
raum geboren ||| room were born
geboren ||| were born
geboren ||| born
6000 ||| there were 6,000
6000 ||| were 6,000
6000 sprachen ||| were 6,000 languages
6000 ||| 6,000
6000 sprachen ||| 6,000 languages
6000 sprachen gesprochen ||| 6,000 languages spoken
sprachen ||| languages
sprachen gesprochen ||| languages spoken
gesprochen ||| spoken
auf ||| on
wurden auf der ||| on the
wurden auf der ||| on the planet
nun ||| now
nun ||| now ,
sprache ||| language
ist ||| is
nicht ||| not
nicht nur ||| not just
nicht nur ||| not just a
nur ||| just
nur ||| just a
nur ||| just a body
oder ||| or
oder ||| or a
oder ||| or a set
. ||| grammatical rules .
. ||| rules .
. ||| .
eine ||| a
eine sprache ||| a language
eine sprache ist ||| a language is
sprache ||| language
sprache ist ||| language is
sprache ist ||| language is a
ist ||| is
ist ||| is a
ist ausdruck ||| is a flash
ausdruck ||| a flash
ausdruck ||| flash
geistes ||| of
des menschlichen geistes ||| of the human
des ||| the
des menschlichen ||| the human
des menschlichen ||| the human spirit
menschlichen ||| human
menschlichen ||| human spirit
. ||| spirit .
. ||| .
ist ||| it 's
ist ||| 's
seele ||| soul
seele ||| soul of
seele ||| soul of each
bestimmten ||| of each particular
bestimmten ||| each particular
bestimmten kultur ||| each particular culture
bestimmten ||| particular
bestimmten kultur ||| particular culture
bestimmten kultur ||| particular culture comes
kultur ||| culture
kultur ||| culture comes
kultur ||| culture comes into
welt ||| the material world
welt ||| material world
welt ||| world
jede ||| every
jede sprache ||| every language
jede sprache ist ||| every language is
sprache ||| language
sprache ist ||| language is
ist ||| is
wald ||| old-growth forest
wald ||| forest
des ||| the
des ||| the mind
gedanke ||| , a thought
gedanke ||| a thought
gedanke ||| a thought ,
gedanke ||| thought
gedanke ||| thought ,
gedanke ||| thought , an
. ||| spiritual possibilities .
. ||| possibilities .
. ||| .
und ||| and
6000 ||| those 6,000
6000 sprachen ||| those 6,000 languages
6000 ||| 6,000
6000 sprachen ||| 6,000 languages
sprachen ||| languages
wir ||| as we
wir ||| as we sit
wir ||| we
wir ||| we sit
wir hier ||| we sit here
hier ||| sit here
hier ||| here
heute ||| today
hälfte ||| , fully half
hälfte ||| fully half
hälfte ||| half
werden ||| are
werden ||| are no
werden ||| are no longer
. ||| of children .
. ||| children .
. ||| .
wird ||| being taught to
wird ||| taught to
wird ||| taught to babies
wird ||| to
wird ||| to babies
heißt ||| which means
heißt ||| which means ,
heißt ||| means
heißt ||| means ,
heißt ||| means , effectively
bereits ||| they 're already
bereits ||| 're already
bereits ||| 're already dead
bereits ||| already
bereits ||| already dead
was ||| what
was könnte ||| what could
könnte ||| could
als ||| than
letzten ||| last
einer ||| of
deine ||| your
deine ||| your people
deine ||| your people to
sprechen ||| people to speak
sprechen ||| to speak
sprechen ||| to speak your
sprechen ||| speak
sprechen ||| speak your
sprache sprechen ||| speak your language
sprache ||| your language
sprache ||| your language ,
sprache ||| language
sprache ||| language ,
sprache ||| language , to
haben ||| , to have
haben ||| to have
haben ||| have
keine ||| no
keine ||| no way
keine ||| no way to
weisheit ||| on the wisdom
weisheit ||| the wisdom
weisheit ||| the wisdom of
weisheit ||| wisdom
weisheit ||| wisdom of
weisheit ||| wisdom of the
oder ||| the ancestors or
oder ||| ancestors or
oder ||| ancestors or anticipate
oder ||| or
oder ||| or anticipate
oder ||| or anticipate the
hoffnung kinder ||| of the children
hoffnung kinder ||| the children
hoffnung kinder ||| children
? ||| ?
doch ||| yet
sprache ||| dreadful fate is
sprache ||| fate is
sprache ||| fate is indeed
sprache ||| is
sprache ||| is indeed
jemandem ||| somebody
jemandem irgendwo ||| somebody somewhere
jemandem irgendwo auf ||| somebody somewhere on
irgendwo ||| somewhere
irgendwo auf ||| somewhere on
auf ||| on
erde ||| earth
erde ||| earth roughly
denn ||| , because
denn ||| , because every
denn ||| because
denn ||| because every
denn ||| because every two
mit ||| and carries with
mit ||| carries with
mit ||| carries with him
mit ||| with
mit ||| with him
nimmt ||| him into
nimmt ||| him into the
nimmt ||| into
nimmt ||| into the
nimmt ||| into the grave
letzten ||| grave the last
letzten ||| the last
letzten ||| the last syllables
letzten ||| last
letzten ||| last syllables
letzten ||| last syllables of
alten ||| ancient
alten ||| ancient tongue
weiß ||| know
weiß ||| know there
einige ||| some
`` ||| ``
`` ||| `` well
`` ||| `` well ,
es ||| it
besser ||| better
besser ||| better ,
besser ||| better , would
die ||| would n't the
die ||| n't the
die welt ||| n't the world
die ||| the
die welt ||| the world
die welt ||| the world be
welt ||| world
welt ||| world be
ort ||| better place
ort ||| place
wenn ||| if
wenn wir ||| if we
wenn wir alle ||| if we all
wir ||| we
wir alle ||| we all
wir alle nur ||| we all just
alle ||| all
alle nur ||| all just
alle nur ||| all just spoke
nur ||| just
nur ||| just spoke
nur ||| just spoke one
dass ||| 's make that
dass ||| make that
dass ||| make that language
dass ||| that
dass ||| that language
lass ||| let
lass ||| let 's
lass ||| let 's make
kogi ||| make it kogi
kogi ||| it kogi
kogi ||| kogi
'' ||| ''
plötzlich ||| 'll suddenly
plötzlich ||| 'll suddenly discover
plötzlich ||| suddenly
plötzlich ||| suddenly discover
könnten ||| discover what
könnten ||| what
es ||| it
wie ||| be like
wie ||| like
erkennen ||| to
erkennen ||| to be
erkennen ||| to be unable
sprechen ||| unable to speak
sprechen ||| to speak
sprechen ||| to speak your
sprechen ||| speak
sprechen ||| speak your
eigene ||| your own
eigene sprache ||| your own language
eigene ||| own
eigene sprache ||| own language
sprache ||| language
was ||| what
ich ||| i
ich ||| i 'd
deshalb ||| 'd like
deshalb ||| like
machen ||| do
heute ||| today
ist ||| is
gewissermaßen ||| sort
gewissermaßen ||| sort of
gewissermaßen ||| sort of take
auf ||| take you on
auf ||| you on
auf ||| on
versuchen ||| , to try
versuchen ||| to try
versuchen ||| to try to
versuchen ||| try
versuchen ||| try to
versuchen ||| try to begin
tatsächlich ||| of what in
tatsächlich ||| what in
tatsächlich ||| what in fact
tatsächlich ||| in
tatsächlich ||| in fact
tatsächlich ||| in fact is
verloren ||| is being lost
verloren ||| being lost
verloren ||| lost
. ||| .
nun ||| now
uns ||| us
uns ||| us who
gewissermaßen ||| who sort
gewissermaßen ||| who sort of
gewissermaßen ||| sort
gewissermaßen ||| sort of
gewissermaßen ||| sort of forget
dass ||| of forget that
dass ||| forget that
dass ||| forget that when
dass ||| that
dass ||| that when
sage ||| say
sage `` ||| say ``
`` ||| ``
'' ||| being , ''
'' ||| , ''
'' ||| , '' i
'' ||| ''
'' ||| '' i
'' wirklich ||| '' i really
wirklich ||| i really
wirklich ||| i really do
wirklich ||| really
wirklich ||| really do
wirklich ||| really do mean
beispiel ||| for example
beispiel ||| for example ,
beispiel ||| example
beispiel ||| example ,
beispiel dieses ||| example , this
dieses ||| , this
dieses ||| , this child
dieses ||| this
dieses ||| this child
von ||| child of
von ||| child of a
von ||| of
von ||| of a
volk ||| , the people
volk ||| the people
volk ||| the people of
volk ||| people
volk ||| people of
volk ||| people of the
kind ||| anaconda who believe
kind ||| who believe
kind ||| believe
heiligen ||| belly of sacred
heiligen ||| of sacred
heiligen ||| of sacred snakes
heiligen ||| sacred
heiligen ||| sacred snakes
ein ||| a
nicht ||| cognitively do not
nicht ||| do not
nicht ||| do not distinguish
nicht ||| not
nicht ||| not distinguish
farben ||| color
farben blau ||| color blue
farben blau ||| color blue from
blau ||| blue
blau ||| blue from
blau ||| blue from the
da ||| color green because
da ||| green because
da ||| green because the
da ||| because
da ||| because the
von ||| of
von ||| of the
von ||| of the heavens
wald ||| of the forest
wald ||| the forest
wald ||| the forest upon
wald ||| forest
wald ||| forest upon
wald ||| forest upon which
. ||| people depend .
. ||| depend .
. ||| .
wird ||| which is
genannt wird ||| which is called
wird ||| is
genannt wird ||| is called
genannt ||| called
heiraten ||| ``
heiraten ||| `` linguistic
heiraten ||| `` linguistic exogamy
spricht ||| exogamy : ''
spricht ||| : ''
spricht ||| ''
dies ||| and this
dies ||| this
ist jedoch ||| is
all ||| all
vergangenheit ||| mythological past
vergangenheit ||| past
eigenartige ||| yet the curious
eigenartige ||| the curious
eigenartige ||| the curious thing
eigenartige ||| curious
eigenartige ||| curious thing
eigenartige ||| curious thing is
denen ||| houses , where
denen ||| , where
denen ||| , where there
denen ||| where
denen ||| where there
werden ||| there are
werden ||| there are six
werden ||| are
werden ||| are six
oder ||| six or
oder sieben ||| six or seven
oder ||| or
oder sieben ||| or seven
oder sieben sprachen ||| or seven languages
sieben ||| seven
sieben sprachen ||| seven languages
sieben sprachen gesprochen ||| seven languages spoken
sprachen ||| languages
sprachen gesprochen ||| languages spoken
gesprochen ||| spoken
aufgrund ||| because
aufgrund ||| because of
aufgrund ||| because of intermarriage
man ||| intermarriage , you
man ||| , you
man niemals ||| , you never
man ||| you
man niemals ||| you never
niemals ||| never
hört ||| hear
hört ||| hear anyone
hört ||| hear anyone practicing
eine ||| anyone practicing a
eine ||| practicing a
eine sprache ||| practicing a language
eine ||| a
eine sprache ||| a language
sprache ||| language
sie ||| they
sie ||| they simply
sie hören ||| they simply listen
hören ||| simply listen
hören ||| listen
und ||| and
dann ||| then
dann ||| then begin
sprechen ||| speak
oder ||| or
jemals ||| ever
jemals ||| ever lived
mit ||| lived with
mit ||| lived with ,
mit ||| with
mit ||| with ,
mit ||| with , the
waorani ||| , the waorani
waorani ||| the waorani
waorani ||| the waorani of
waorani ||| waorani
waorani ||| waorani of
waorani ||| waorani of northeastern
erstaunliches ||| ecuador , an
erstaunliches ||| , an
erstaunliches ||| , an astonishing
erstaunliches ||| an
erstaunliches ||| an astonishing
erstaunliches volk ||| an astonishing people
volk ||| astonishing people
volk ||| people
erstmals ||| first
erstmals ||| first contacted
erstmals ||| first contacted peacefully
im ||| in
fünf ||| five
versuchten fünf missionare ||| five missionaries
versuchten fünf missionare ||| five missionaries attempted
und ||| attempted contact and
und ||| contact and
und ||| contact and made
und ||| and
und ||| and made
. ||| critical mistake .
. ||| mistake .
. ||| .
dabei ||| dropped from
dabei ||| from
luft ||| air
was ||| what
was wir ||| what we
wir ||| we
würden ||| would
würden ||| would say
würden ||| would say to
diese ||| these
diese menschen ||| these people
diese menschen ||| these people of
menschen ||| people
menschen ||| people of
menschen ||| people of the
hatten ||| the rainforest had
hatten ||| rainforest had
hatten ||| had
niemals ||| never
gesehen ||| seen
gesehen ||| seen anything
gesehen ||| seen anything two-dimensional
ihrem ||| two-dimensional in their
ihrem ||| in their
ihrem ||| in their lives
ihrem ||| their
ihrem ||| their lives
sie ||| they
versuchten ||| up
diese ||| these
diese fotografien ||| these photographs
diese fotografien ||| these photographs from
fotografien ||| photographs
fotografien ||| photographs from
hinter ||| look behind
hinter ||| look behind the
hinter ||| behind
hinter ||| behind the
gesicht ||| the face
gesicht ||| the face to
gesicht ||| face
gesicht ||| face to
gesicht ||| face to find
oder ||| the form or
oder ||| form or
oder ||| form or the
oder ||| or
oder ||| or the
oder ||| or the figure
fanden ||| figure , found
fanden ||| , found
fanden nichts ||| , found nothing
fanden ||| found
fanden nichts ||| found nothing
fanden nichts ||| found nothing ,
nichts ||| nothing
nichts ||| nothing ,
fünf ||| speared the five
fünf ||| the five
fünf missionare ||| the five missionaries
fünf ||| five
fünf missionare ||| five missionaries
fünf missionare ||| five missionaries to
missionare ||| missionaries
missionare ||| missionaries to
speer ||| to death
speer ||| death
aber ||| but
waorani ||| waorani
waorani ||| waorani did
nicht ||| did n't
nicht nur ||| did n't just
nicht ||| n't
nicht nur ||| n't just
nicht nur außenstehende ||| n't just spear
nur ||| just
nur außenstehende ||| just spear
nur außenstehende ||| just spear outsiders
außenstehende ||| spear
außenstehende ||| spear outsiders
sie ||| they
sie durchbohrten ||| they speared
durchbohrten ||| speared
gegenseitig ||| each
gegenseitig ||| each other
sich gegenseitig . ||| each other .
% ||| percent
% der ||| percent of
% der ||| percent of their
der ||| of
der ||| of their
der ||| of their mortality
durch ||| was due to
durch ||| due to
durch ||| due to them
durch ||| to
durch ||| to them
durch ||| to them spearing
. ||| each other .
. ||| other .
. ||| .
zurück ||| genealogies back
zurück ||| genealogies back eight
zurück ||| back
zurück ||| back eight
generationen zurück ||| back eight generations
generationen ||| eight generations
generationen ||| generations
fanden ||| we found
fanden zwei ||| we found two
fanden ||| found
fanden zwei ||| found two
fanden zwei ||| found two instances
zwei ||| two
zwei ||| two instances
zwei ||| two instances of
natürlichen ||| instances of natural
natürlichen ||| of natural
natürlichen ||| natural
speer ||| death
speer ||| death and
gaben ||| and when
gaben ||| and when we
gaben ||| when
gaben ||| when we
gaben ||| when we pressured
einer ||| a
einer ||| a little
einer ||| a little bit
darüber ||| little bit about
darüber ||| bit about
darüber ||| about
ihn ||| it
ihn ||| it ,
sie ||| , they
sie ||| , they admitted
sie ||| they
sie ||| they admitted
eines ||| one
eines ||| one of
eines ||| one of the
so ||| had gotten so
so ||| gotten so
so alt ||| gotten so old
so ||| so
so alt ||| so old
so alt ||| so old that
alt ||| old
alt ||| old that
starb ||| died
starb ||| died getting
starb ||| died getting old
trotzdem ||| speared him anyway
trotzdem ||| him anyway
trotzdem ||| anyway
. ||| .
aber ||| but
aber ||| but at
sie ||| same time they
sie ||| time they
hatten sie ||| time they had
sie ||| they
hatten sie ||| they had
hatten sie eine ||| they had a
hatten ||| had
eine ||| a
war ||| forest that was
war ||| that was
war ||| that was astonishing
war ||| was
war ||| was astonishing
ihre ||| their
konnten ||| could
konnten ||| could smell
konnten ||| could smell animal
40 ||| urine at 40
40 ||| at 40
40 ||| at 40 paces
40 ||| 40
40 ||| 40 paces
und ||| paces and
und ||| paces and tell
und ||| and
und ||| and tell
und ||| and tell you
entfernung ||| you what species
entfernung ||| what species
entfernung ||| what species left
entfernung ||| species
entfernung ||| species left
frühen ||| early
eine ||| had a
eine wirklich ||| had a really
eine ||| a
eine wirklich ||| a really
eine wirklich erstaunliche ||| a really astonishing
wirklich ||| really
wirklich erstaunliche ||| really astonishing
wirklich erstaunliche ||| really astonishing assignment
erstaunliche ||| astonishing
erstaunliche ||| astonishing assignment
erstaunliche ||| astonishing assignment when
mein ||| asked by my
mein ||| by my
mein professor ||| by my professor
mein ||| my
mein professor ||| my professor
mein professor ||| my professor at
professor ||| professor
professor ||| professor at
harvard ||| at harvard
harvard ||| harvard
ob ||| if
ob ||| if i
ob ||| if i was
haiti ||| haiti
haiti ||| haiti ,
haiti ||| haiti , infiltrating
gesellschaften ||| the secret societies
gesellschaften ||| secret societies
gesellschaften ||| secret societies which
gesellschaften ||| societies
gesellschaften ||| societies which
machen ||| used to make
machen ||| to make
machen ||| to make zombies
machen ||| make
machen ||| make zombies
. ||| zombies .
. ||| .
sinn ||| make sense
sinn ||| make sense out
sinn ||| sense
sinn ||| sense out
natürlich ||| of course
natürlich ||| of course ,
natürlich ||| course
natürlich ||| course ,
ich natürlich ||| course , i
ich ||| , i
ich ||| , i had
ich ||| i
ich ||| i had
ich ||| i had to
etwas ||| to understand something
etwas ||| understand something
etwas über ||| understand something about
etwas ||| something
etwas über ||| something about
über ||| about
musste ||| this
musste ||| this remarkable
musste ||| this remarkable faith
. ||| of vodoun .
. ||| vodoun .
. ||| .
und ||| and
und voodoo ||| and voodoo
und voodoo ||| and voodoo is
voodoo ||| voodoo
voodoo ||| voodoo is
kein ||| is not
kein ||| not
einen ||| a
einen ||| a black
einen ||| a black magic
kult ||| black magic cult
kult ||| magic cult
kult ||| magic cult .
kult ||| cult
kult ||| cult .
handelt ||| on
im ||| the
komplexe metaphysische weltsicht ||| contrary
es ||| it
es ||| it 's
. ||| metaphysical worldview .
. ||| worldview .
. ||| .
es ||| it
es ist ||| it 's
es ist interessant ||| it 's interesting
ist ||| 's
ist interessant ||| 's interesting
ist interessant . ||| 's interesting .
interessant ||| interesting
interessant . ||| interesting .
. ||| .
wenn ||| if
wenn ich ||| if i
wenn ich ||| if i asked
ich ||| i
ich ||| i asked
die ||| to name the
die ||| name the
die großen ||| name the great
die ||| the
die großen ||| the great
großen ||| great
großen weltreligionen aufzuzählen ||| great religions
weltreligionen aufzuzählen ||| religions
fragen ||| of
fragen ||| of the
fragen ||| of the world
was ||| what
sagen ||| you say
sagen ? ||| you say ?
sagen ||| say
sagen ? ||| say ?
? ||| ?
. ||| , whatever .
. ||| whatever .
. ||| .
gab ||| there
immer ||| always
immer ||| always one
kontinent ||| one continent
kontinent ||| one continent left
kontinent ||| continent
kontinent ||| continent left
gedanken ||| left out
gedanken ||| out
vermutung ||| assumption
vermutung ||| assumption being
natürlich ||| course
natürlich ||| course ,
natürlich ||| course , they
und ||| they did and
und ||| did and
und voodoo ||| did and voodoo
und ||| and
und voodoo ||| and voodoo
und voodoo ist ||| and voodoo is
voodoo ||| voodoo
voodoo ist ||| voodoo is
voodoo ist ||| voodoo is simply
ist ||| is
ist ||| is simply
ist ||| is simply the
sehr ||| of these very
sehr ||| these very
sehr ||| these very profound
sehr ||| very
sehr ||| very profound
sehr ||| very profound religious
diaspora ||| the tragic diaspora
diaspora ||| tragic diaspora
diaspora ||| tragic diaspora of
diaspora ||| diaspora
diaspora ||| diaspora of
diaspora ||| diaspora of the
aber ||| but
, ||| ,
was ||| what
